site,CLASS,lat,lon,noflowfraction_mean,n_years
5116500,Non-ref,48.37056947,-101.5701633,0.05404404217948718,39
5120500,Ref,48.13833739,-100.5398623,0.04677783725641026,39
5123400,Ref,48.58777637,-100.441523,0.4418771714871795,39
5503800,Ref,39.5848333,-91.9935,0.12805207805128205,39
5507600,Ref,39.4314296,-91.6762708,0.08975543843589744,39
5577500,Non-ref,39.8153284,-89.698713,0.04507176020512821,39
5590800,Non-ref,39.80642179,-88.4761686,0.04438734961538462,39
5591550,Ref,39.5067003,-88.5275547,0.11791794218421052,38
5591700,Non-ref,39.73114568,-88.6625657,0.10206878068421053,38
5592900,Non-ref,38.6889373,-89.1000653,0.07027298343589744,39
5593900,Ref,39.1486111,-89.3525,0.046943514205128205,39
5595730,Ref,38.25388889,-89.0405556,0.09841159130769231,39
5597500,Non-ref,37.73116079,-88.8892345,0.08798345458974359,39
6130500,Non-ref,46.99469167,-107.8891639,0.04478858964102564,39
6154400,Non-ref,48.2237333,-108.7140528,0.13696069812820513,39
6177500,Non-ref,47.4139722,-105.5756444,0.05889516144117647,34
6332515,Ref,47.7872369,-102.7685256,0.05224229415384615,39
6337000,Non-ref,47.59543889,-103.2633694,0.04233015248717949,39
6339100,Ref,47.2361259,-102.7699074,0.04238667484615385,39
6344600,Ref,47.02779158,-103.0532355,0.06554785876923076,39
6353000,Ref,46.09166988,-101.333742,0.07697580884210527,38
6354882,Non-ref,45.7119422,-100.5593015,0.24121147015625,32
6355500,Non-ref,45.80222,-102.3623795,0.1774455704102564,39
6360500,Ref,45.2558171,-100.8429214,0.14958858094736843,38
6400000,Non-ref,43.2399736,-103.5882519,0.2670364647435898,39
6400875,Non-ref,43.18803166,-103.2265866,0.4633926762857143,35
6404000,Ref,43.87164727,-103.3363029,0.06837155687179487,39
6407500,Non-ref,43.97871038,-103.3460469,0.046031233125,32
6425100,Non-ref,44.2402646,-103.1512907,0.3732689857894737,38
6425500,Non-ref,44.24831768,-102.5032217,0.4060501082051282,39
6441500,Ref,44.32664897,-100.3843003,0.28309035917948716,39
6446000,Non-ref,43.25484357,-102.8273511,0.05278396451282051,39
6468170,Ref,47.5580525,-98.862885,0.11635598128205128,39
6468250,Ref,47.3997189,-98.7976057,0.12064033696969696,33
6469400,Non-ref,47.1674948,-98.9689998,0.1275560835897436,39
6470800,Ref,46.2252439,-98.0717676,0.19257221053846155,39
6470878,Non-ref,45.9363579,-98.1742692,0.04146371908108108,37
6471000,Non-ref,45.6035795,-98.3103756,0.10556311365789474,38
6471200,Ref,45.93886156,-98.4526004,0.3407720507894737,38
6473000,Non-ref,44.99830768,-98.480927,0.05402777656410256,39
6475000,Non-ref,44.91053097,-98.4720386,0.048533761249999995,32
6476000,Non-ref,44.36359475,-98.199257,0.07568165712820513,39
6477500,Ref,43.77640219,-98.2456658,0.06598020456410257,39
6478690,Non-ref,43.41562216,-97.2051972,0.07719274820512821,39
6709530,Non-ref,39.50736944,-105.0244667,0.081500025,34
6821500,Non-ref,40.02916667,-101.9675,0.24514751166666668,39
