mtry,trees,min_n,.metric,.estimator,mean,n,std_err,.config,metric,region_rf
4,250,3,rsq,standard,0.7536346941704919,5,0.006107016483653281,Preprocessor1_Model025,annualnoflowdays,National
4,450,3,mae,standard,39.11976772868061,5,0.4388905015381555,Preprocessor1_Model026,annualnoflowdays,National
4,450,3,rmse,standard,55.4392415001673,5,0.6380289841988925,Preprocessor1_Model026,annualnoflowdays,National
4,450,3,rsq,standard,0.7546154469859562,5,0.005370181063602145,Preprocessor1_Model026,annualnoflowdays,National
4,650,3,mae,standard,39.11521621051541,5,0.4622997707423224,Preprocessor1_Model027,annualnoflowdays,National
4,650,3,rmse,standard,55.38095499656662,5,0.6642937475126904,Preprocessor1_Model027,annualnoflowdays,National
4,650,3,rsq,standard,0.7550987601415631,5,0.005455785424226561,Preprocessor1_Model027,annualnoflowdays,National
4,850,3,mae,standard,39.13495084861378,5,0.4277174942793683,Preprocessor1_Model028,annualnoflowdays,National
4,850,3,rmse,standard,55.3827926240714,5,0.6349319209458982,Preprocessor1_Model028,annualnoflowdays,National
4,850,3,rsq,standard,0.755313610147894,5,0.0052559791135658885,Preprocessor1_Model028,annualnoflowdays,National
4,1050,3,mae,standard,39.153138523863895,5,0.4429175462796791,Preprocessor1_Model029,annualnoflowdays,National
4,1050,3,rmse,standard,55.42410443371279,5,0.6440675174009242,Preprocessor1_Model029,annualnoflowdays,National
4,1050,3,rsq,standard,0.7550258803497899,5,0.005383156739990928,Preprocessor1_Model029,annualnoflowdays,National
4,1250,3,mae,standard,39.127375902031034,5,0.4301522029743242,Preprocessor1_Model030,annualnoflowdays,National
4,1250,3,rmse,standard,55.41075811235509,5,0.6261196649566297,Preprocessor1_Model030,annualnoflowdays,National
4,1250,3,rsq,standard,0.7551059172715656,5,0.00511912087874385,Preprocessor1_Model030,annualnoflowdays,National
4,1450,3,mae,standard,39.12467914854419,5,0.4438304162808114,Preprocessor1_Model031,annualnoflowdays,National
4,1450,3,rmse,standard,55.38888869234508,5,0.6509851392628265,Preprocessor1_Model031,annualnoflowdays,National
4,1450,3,rsq,standard,0.7552365619656047,5,0.005351906368184646,Preprocessor1_Model031,annualnoflowdays,National
4,1650,3,mae,standard,39.09247589566664,5,0.4378642631861385,Preprocessor1_Model032,annualnoflowdays,National
4,1650,3,rmse,standard,55.379538214116764,5,0.634711243782031,Preprocessor1_Model032,annualnoflowdays,National
4,1650,3,rsq,standard,0.7553278223022687,5,0.00518720094858341,Preprocessor1_Model032,annualnoflowdays,National
6,250,3,mae,standard,39.363100797943595,5,0.4563480352997403,Preprocessor1_Model033,annualnoflowdays,National
6,250,3,rmse,standard,55.84386828237341,5,0.6289416031664053,Preprocessor1_Model033,annualnoflowdays,National
6,250,3,rsq,standard,0.7501654268113995,5,0.0050169470121921,Preprocessor1_Model033,annualnoflowdays,National
6,450,3,mae,standard,39.32632418517471,5,0.4159296653212457,Preprocessor1_Model034,annualnoflowdays,National
6,450,3,rmse,standard,55.7651864091405,5,0.5741393356905343,Preprocessor1_Model034,annualnoflowdays,National
6,450,3,rsq,standard,0.7509487363993718,5,0.004529430736837031,Preprocessor1_Model034,annualnoflowdays,National
6,650,3,mae,standard,39.27416343975686,5,0.4230342649018042,Preprocessor1_Model035,annualnoflowdays,National
6,650,3,rmse,standard,55.70568036192165,5,0.5788534230545366,Preprocessor1_Model035,annualnoflowdays,National
6,650,3,rsq,standard,0.7517363306981002,5,0.004597546194526408,Preprocessor1_Model035,annualnoflowdays,National
6,850,3,mae,standard,39.300070111498066,5,0.4279752714360797,Preprocessor1_Model036,annualnoflowdays,National
6,850,3,rmse,standard,55.68809633706266,5,0.5998269362535702,Preprocessor1_Model036,annualnoflowdays,National
6,850,3,rsq,standard,0.7518899976933833,5,0.004849683024483246,Preprocessor1_Model036,annualnoflowdays,National
6,1050,3,mae,standard,39.213197974011166,5,0.3930790565153514,Preprocessor1_Model037,annualnoflowdays,National
6,1050,3,rmse,standard,55.60163500145217,5,0.5525951535200951,Preprocessor1_Model037,annualnoflowdays,National
6,1050,3,rsq,standard,0.7526768314931508,5,0.004428044146756677,Preprocessor1_Model037,annualnoflowdays,National
6,1250,3,mae,standard,39.25793220827902,5,0.4255051823074178,Preprocessor1_Model038,annualnoflowdays,National
6,1250,3,rmse,standard,55.642718962051426,5,0.6019422878368572,Preprocessor1_Model038,annualnoflowdays,National
6,1250,3,rsq,standard,0.7523351424277064,5,0.004845118333728876,Preprocessor1_Model038,annualnoflowdays,National
6,1450,3,mae,standard,39.25486160214011,5,0.42794494350124884,Preprocessor1_Model039,annualnoflowdays,National
6,1450,3,rmse,standard,55.60342238817667,5,0.6053542439815423,Preprocessor1_Model039,annualnoflowdays,National
6,1450,3,rsq,standard,0.7527393508683478,5,0.0048486480695307385,Preprocessor1_Model039,annualnoflowdays,National
6,1650,3,mae,standard,39.25190364838241,5,0.4087672597054707,Preprocessor1_Model040,annualnoflowdays,National
6,1650,3,rmse,standard,55.64177635610437,5,0.5620454404937051,Preprocessor1_Model040,annualnoflowdays,National
6,1650,3,rsq,standard,0.7523646858116582,5,0.00447772856378973,Preprocessor1_Model040,annualnoflowdays,National
7,250,3,mae,standard,39.39073140458607,5,0.3873133906606371,Preprocessor1_Model041,annualnoflowdays,National
7,250,3,rmse,standard,55.873883748757166,5,0.5143057043017157,Preprocessor1_Model041,annualnoflowdays,National
7,250,3,rsq,standard,0.7495617351744059,5,0.004039594015811399,Preprocessor1_Model041,annualnoflowdays,National
7,450,3,mae,standard,39.37035568276168,5,0.40847225899422335,Preprocessor1_Model042,annualnoflowdays,National
7,450,3,rmse,standard,55.846789058477306,5,0.5859397867635431,Preprocessor1_Model042,annualnoflowdays,National
7,450,3,rsq,standard,0.7501221836145202,5,0.004709223939565908,Preprocessor1_Model042,annualnoflowdays,National
7,650,3,mae,standard,39.27219744842085,5,0.3919303205696951,Preprocessor1_Model043,annualnoflowdays,National
7,650,3,rmse,standard,55.7156984830343,5,0.540375809408955,Preprocessor1_Model043,annualnoflowdays,National
7,650,3,rsq,standard,0.7514113089032222,5,0.004271725135089416,Preprocessor1_Model043,annualnoflowdays,National
7,850,3,mae,standard,39.34072056479233,5,0.3858857205316333,Preprocessor1_Model044,annualnoflowdays,National
7,850,3,rmse,standard,55.81064053625096,5,0.5366712298259179,Preprocessor1_Model044,annualnoflowdays,National
7,850,3,rsq,standard,0.7505496568579015,5,0.004209402131254197,Preprocessor1_Model044,annualnoflowdays,National
7,1050,3,mae,standard,39.28681022933673,5,0.39193944616396503,Preprocessor1_Model045,annualnoflowdays,National
7,1050,3,rmse,standard,55.711620638976534,5,0.5594949778989987,Preprocessor1_Model045,annualnoflowdays,National
7,1050,3,rsq,standard,0.7514277109605957,5,0.004427636286304542,Preprocessor1_Model045,annualnoflowdays,National
7,1250,3,mae,standard,39.335460081895214,5,0.4058903635548065,Preprocessor1_Model046,annualnoflowdays,National
7,1250,3,rmse,standard,55.778839478251705,5,0.5596974487906895,Preprocessor1_Model046,annualnoflowdays,National
7,1250,3,rsq,standard,0.7507519026688534,5,0.004420912404533197,Preprocessor1_Model046,annualnoflowdays,National
7,1450,3,mae,standard,39.28838960292709,5,0.42337926821897326,Preprocessor1_Model047,annualnoflowdays,National
7,1450,3,rmse,standard,55.7247655983843,5,0.5797984530967648,Preprocessor1_Model047,annualnoflowdays,National
7,1450,3,rsq,standard,0.7512494514396351,5,0.004539897147848588,Preprocessor1_Model047,annualnoflowdays,National
7,1650,3,mae,standard,39.30137431878969,5,0.4018957449210405,Preprocessor1_Model048,annualnoflowdays,National
7,1650,3,rmse,standard,55.733979185284994,5,0.5550358509442247,Preprocessor1_Model048,annualnoflowdays,National
7,1650,3,rsq,standard,0.751212046745895,5,0.004354175048448376,Preprocessor1_Model048,annualnoflowdays,National
8,250,3,mae,standard,39.39868089598775,5,0.4335466118559434,Preprocessor1_Model049,annualnoflowdays,National
8,250,3,rmse,standard,55.9375049990204,5,0.5752178686628767,Preprocessor1_Model049,annualnoflowdays,National
8,250,3,rsq,standard,0.74857951004591206,5,0.0045437606354768725,Preprocessor1_Model049,annualnoflowdays,National
8,450,3,mae,standard,39.336524556286165,5,0.40349507666853374,Preprocessor1_Model050,annualnoflowdays,National
8,450,3,rmse,standard,55.85886052276422,5,0.5742473620517055,Preprocessor1_Model050,annualnoflowdays,National
8,450,3,rsq,standard,0.7496800982420244,5,0.00454386931370727,Preprocessor1_Model050,annualnoflowdays,National
8,650,3,mae,standard,39.36450441497738,5,0.3897397232228681,Preprocessor1_Model051,annualnoflowdays,National
8,650,3,rmse,standard,55.8612764174146,5,0.5326717365999188,Preprocessor1_Model051,annualnoflowdays,National
8,650,3,rsq,standard,0.7498002691452332,5,0.004136878047313477,Preprocessor1_Model051,annualnoflowdays,National
8,850,3,mae,standard,39.36712917784996,5,0.3947907952021865,Preprocessor1_Model052,annualnoflowdays,National
8,850,3,rmse,standard,55.88569007183439,5,0.5521147754277294,Preprocessor1_Model052,annualnoflowdays,National
8,850,3,rsq,standard,0.7494349626945794,5,0.0044739147202016456,Preprocessor1_Model052,annualnoflowdays,National
8,1050,3,mae,standard,39.36947387137223,5,0.40744905440405105,Preprocessor1_Model053,annualnoflowdays,National
8,1050,3,rmse,standard,55.88387951356433,5,0.5533201861045942,Preprocessor1_Model053,annualnoflowdays,National
8,1050,3,rsq,standard,0.749572967255563,5,0.004388127448706405,Preprocessor1_Model053,annualnoflowdays,National
8,1250,3,mae,standard,39.31820674127048,5,0.41850016230777676,Preprocessor1_Model054,annualnoflowdays,National
8,1250,3,rmse,standard,55.79238906609313,5,0.5978583453943005,Preprocessor1_Model054,annualnoflowdays,National
8,1250,3,rsq,standard,0.7503719148199008,5,0.004782674449886652,Preprocessor1_Model054,annualnoflowdays,National
8,1450,3,mae,standard,39.343541964051674,5,0.40382895535543284,Preprocessor1_Model055,annualnoflowdays,National
8,1450,3,rmse,standard,55.856402407095956,5,0.5613128786575182,Preprocessor1_Model055,annualnoflowdays,National
8,1450,3,rsq,standard,0.7497511140720762,5,0.004388460181897394,Preprocessor1_Model055,annualnoflowdays,National
8,1650,3,mae,standard,39.36117919745254,5,0.41068260373662996,Preprocessor1_Model056,annualnoflowdays,National
8,1650,3,rmse,standard,55.82560050552177,5,0.5702569005368486,Preprocessor1_Model056,annualnoflowdays,National
8,1650,3,rsq,standard,0.7501168819726759,5,0.00447153951693022,Preprocessor1_Model056,annualnoflowdays,National
10,250,3,mae,standard,39.45144163058511,5,0.4110730593017199,Preprocessor1_Model057,annualnoflowdays,National
10,250,3,rmse,standard,56.13236685588834,5,0.5606750008699674,Preprocessor1_Model057,annualnoflowdays,National
10,250,3,rsq,standard,0.746180876122858,5,0.0041886005732799545,Preprocessor1_Model057,annualnoflowdays,National
10,450,3,mae,standard,39.39140663229283,5,0.3873316297324532,Preprocessor1_Model058,annualnoflowdays,National
10,450,3,rmse,standard,56.03587026228389,5,0.5490431850134683,Preprocessor1_Model058,annualnoflowdays,National
10,450,3,rsq,standard,0.7473425057532203,5,0.004251709344846171,Preprocessor1_Model058,annualnoflowdays,National
10,650,3,mae,standard,39.401264037513506,5,0.39998768358470527,Preprocessor1_Model059,annualnoflowdays,National
10,650,3,rmse,standard,56.05561918527905,5,0.5606969546622945,Preprocessor1_Model059,annualnoflowdays,National
10,650,3,rsq,standard,0.7473290090646207,5,0.004346364335949995,Preprocessor1_Model059,annualnoflowdays,National
10,850,3,mae,standard,39.357418897387966,5,0.40531108108686414,Preprocessor1_Model060,annualnoflowdays,National
10,850,3,rmse,standard,55.95694040412551,5,0.5528024512406112,Preprocessor1_Model060,annualnoflowdays,National
10,850,3,rsq,standard,0.7481773304142729,5,0.004320540074563675,Preprocessor1_Model060,annualnoflowdays,National
10,1050,3,mae,standard,39.39186384342844,5,0.39728135293593875,Preprocessor1_Model061,annualnoflowdays,National
10,1050,3,rmse,standard,55.99537254977464,5,0.5462421117792277,Preprocessor1_Model061,annualnoflowdays,National
10,1050,3,rsq,standard,0.7478569567638511,5,0.004210377743953722,Preprocessor1_Model061,annualnoflowdays,National
10,1250,3,mae,standard,39.38426459039187,5,0.39736164744807423,Preprocessor1_Model062,annualnoflowdays,National
10,1250,3,rmse,standard,55.976561534644766,5,0.5337786473079362,Preprocessor1_Model062,annualnoflowdays,National
10,1250,3,rsq,standard,0.7480761864582625,5,0.004132974285941926,Preprocessor1_Model062,annualnoflowdays,National
10,1450,3,mae,standard,39.366977111299846,5,0.3903536494453062,Preprocessor1_Model063,annualnoflowdays,National
10,1450,3,rmse,standard,55.96690862617873,5,0.5615161590498265,Preprocessor1_Model063,annualnoflowdays,National
10,1450,3,rsq,standard,0.7481574842344441,5,0.004450521715740692,Preprocessor1_Model063,annualnoflowdays,National
10,1650,3,mae,standard,39.38482592909909,5,0.3921184889204129,Preprocessor1_Model064,annualnoflowdays,National
10,1650,3,rmse,standard,55.978574058834745,5,0.5412875881005655,Preprocessor1_Model064,annualnoflowdays,National
10,1650,3,rsq,standard,0.7481049280973014,5,0.004187473974687385,Preprocessor1_Model064,annualnoflowdays,National
1,250,6,mae,standard,42.41141445548148,5,0.48882129765063137,Preprocessor1_Model065,annualnoflowdays,National
1,250,6,rmse,standard,58.55870164054315,5,0.7166069021507109,Preprocessor1_Model065,annualnoflowdays,National
1,250,6,rsq,standard,0.7332190816816878,5,0.006867282686349953,Preprocessor1_Model065,annualnoflowdays,National
1,450,6,mae,standard,42.40316170848819,5,0.5328558469400733,Preprocessor1_Model066,annualnoflowdays,National
1,450,6,rmse,standard,58.543927632442774,5,0.7732880057886824,Preprocessor1_Model066,annualnoflowdays,National
1,450,6,rsq,standard,0.7333130788147199,5,0.0074962639771003385,Preprocessor1_Model066,annualnoflowdays,National
1,650,6,mae,standard,42.389402393771576,5,0.5155407754986764,Preprocessor1_Model067,annualnoflowdays,National
1,650,6,rmse,standard,58.55645502188619,5,0.7464399785041417,Preprocessor1_Model067,annualnoflowdays,National
1,650,6,rsq,standard,0.7330573871431811,5,0.0072664144430010695,Preprocessor1_Model067,annualnoflowdays,National
1,850,6,mae,standard,42.334749114495736,5,0.48390215668141834,Preprocessor1_Model068,annualnoflowdays,National
1,850,6,rmse,standard,58.4806241484878,5,0.724677211694607,Preprocessor1_Model068,annualnoflowdays,National
1,850,6,rsq,standard,0.7338267553583188,5,0.006953297903958773,Preprocessor1_Model068,annualnoflowdays,National
1,1050,6,mae,standard,42.355864945647404,5,0.5122353627798134,Preprocessor1_Model069,annualnoflowdays,National
1,1050,6,rmse,standard,58.51982585907197,5,0.7306797798247823,Preprocessor1_Model069,annualnoflowdays,National
1,1050,6,rsq,standard,0.7335984365902772,5,0.007032980618192767,Preprocessor1_Model069,annualnoflowdays,National
1,1250,6,mae,standard,42.344150038628285,5,0.4945939201462914,Preprocessor1_Model070,annualnoflowdays,National
