predictor,boruta_decision,boruta_imp_median,metric,region_rf
topwet,Confirmed,11.344362252241588,annualfractionnoflow,North Great Plains
depth_bedrock_m,Confirmed,10.472011543011446,annualfractionnoflow,North Great Plains
porosity,Confirmed,13.743615115110766,annualfractionnoflow,North Great Plains
storage_m,Confirmed,7.59967245161232,annualfractionnoflow,North Great Plains
clayave,Confirmed,11.19944017418009,annualfractionnoflow,North Great Plains
siltave,Confirmed,9.316259003054572,annualfractionnoflow,North Great Plains
sandave,Confirmed,9.067703000931358,annualfractionnoflow,North Great Plains
p_mm_cy,Confirmed,15.900592265343729,annualfractionnoflow,North Great Plains
p_mm_jas,Confirmed,6.854324251780411,annualfractionnoflow,North Great Plains
p_mm_ond,Confirmed,6.947304475439342,annualfractionnoflow,North Great Plains
p_mm_jfm,Tentative,2.5304980835716084,annualfractionnoflow,North Great Plains
p_mm_amj,Confirmed,10.086133868812466,annualfractionnoflow,North Great Plains
pet_mm_cy,Confirmed,6.948318561613247,annualfractionnoflow,North Great Plains
pet_mm_jas,Confirmed,5.694747509006555,annualfractionnoflow,North Great Plains
pet_mm_ond,Confirmed,5.702725733035393,annualfractionnoflow,North Great Plains
pet_mm_jfm,Confirmed,4.880991048756675,annualfractionnoflow,North Great Plains
pet_mm_amj,Confirmed,9.83130017682789,annualfractionnoflow,North Great Plains
T_max_c_cy,Confirmed,5.572959618016677,annualfractionnoflow,North Great Plains
T_max_c_jas,Confirmed,4.179770662104614,annualfractionnoflow,North Great Plains
T_max_c_ond,Confirmed,6.26809738891322,annualfractionnoflow,North Great Plains
T_max_c_jfm,Confirmed,5.184881616096624,annualfractionnoflow,North Great Plains
T_max_c_amj,Confirmed,8.00153539007182,annualfractionnoflow,North Great Plains
swe_mm_cy,Confirmed,3.3568031105766805,annualfractionnoflow,North Great Plains
swe_mm_jas,Rejected,-Inf,annualfractionnoflow,North Great Plains
swe_mm_ond,Confirmed,3.342625414845851,annualfractionnoflow,North Great Plains
swe_mm_jfm,Tentative,2.895487768389295,annualfractionnoflow,North Great Plains
swe_mm_amj,Confirmed,3.203895321984368,annualfractionnoflow,North Great Plains
p.pet_cy,Confirmed,13.245864384200372,annualfractionnoflow,North Great Plains
swe.p_cy,Tentative,2.7842989536795106,annualfractionnoflow,North Great Plains
p.pet_jfm,Confirmed,3.887995330759215,annualfractionnoflow,North Great Plains
swe.p_jfm,Tentative,2.9250245275171816,annualfractionnoflow,North Great Plains
p.pet_amj,Confirmed,11.24059986945289,annualfractionnoflow,North Great Plains
swe.p_amj,Confirmed,3.1586487833123886,annualfractionnoflow,North Great Plains
p.pet_jas,Confirmed,6.953324297943537,annualfractionnoflow,North Great Plains
swe.p_jas,Tentative,2.23512976625705,annualfractionnoflow,North Great Plains
p.pet_ond,Confirmed,5.659350042651071,annualfractionnoflow,North Great Plains
swe.p_ond,Confirmed,4.8319861468286875,annualfractionnoflow,North Great Plains
p_mm_cy.previous,Confirmed,9.854864338289708,annualfractionnoflow,North Great Plains
p_mm_jas.previous,Confirmed,5.397997402422828,annualfractionnoflow,North Great Plains
p_mm_ond.previous,Confirmed,7.984473511721559,annualfractionnoflow,North Great Plains
p_mm_jfm.previous,Tentative,2.293215453478601,annualfractionnoflow,North Great Plains
p_mm_amj.previous,Confirmed,6.496848811247619,annualfractionnoflow,North Great Plains
pet_mm_cy.previous,Confirmed,8.680883193964336,annualfractionnoflow,North Great Plains
pet_mm_jas.previous,Confirmed,5.334440104836039,annualfractionnoflow,North Great Plains
