value,yhat,predictor,metric
-0.12184106105408965,0.05433392559358186,pet_mm_ond,annualnoflowdays
-0.02720210088775188,0.05306997747405968,pet_mm_ond,annualnoflowdays
0.06743685927858589,0.053571801802130455,pet_mm_ond,annualnoflowdays
0.16207581944492322,0.053478348607547986,pet_mm_ond,annualnoflowdays
0.256714779611261,0.0533074847226554,pet_mm_ond,annualnoflowdays
0.35135373977759876,0.05377306113783007,pet_mm_ond,annualnoflowdays
0.44599269994393653,0.0543122869573191,pet_mm_ond,annualnoflowdays
0.5406316601102743,0.05451808578094804,pet_mm_ond,annualnoflowdays
0.6352706202766116,0.05447645557529666,pet_mm_ond,annualnoflowdays
0.7299095804429494,0.05437567595531206,pet_mm_ond,annualnoflowdays
0.8245485406092872,0.053694228756486495,pet_mm_ond,annualnoflowdays
0.9191875007756249,0.052324358264677066,pet_mm_ond,annualnoflowdays
1.0138264609419627,0.05136949042622403,pet_mm_ond,annualnoflowdays
1.1084654211083,0.05090537507270655,pet_mm_ond,annualnoflowdays
1.2031043812746378,0.049770598129450075,pet_mm_ond,annualnoflowdays
1.2977433414409756,0.04922822245999863,pet_mm_ond,annualnoflowdays
1.392382301607313,0.04784234225131889,pet_mm_ond,annualnoflowdays
1.4870212617736511,0.04700682082619637,pet_mm_ond,annualnoflowdays
1.5816602219399885,0.04631558223877539,pet_mm_ond,annualnoflowdays
1.6762991821063267,0.04640011602530151,pet_mm_ond,annualnoflowdays
1.770938142272664,0.046465974641995304,pet_mm_ond,annualnoflowdays
1.8655771024390022,0.04641170349307896,pet_mm_ond,annualnoflowdays
1.9602160626053395,0.04637731072132,pet_mm_ond,annualnoflowdays
2.054855022771677,0.04637731072132,pet_mm_ond,annualnoflowdays
-2.109843979209055,0.06116063498530673,tau_p.pet_jfm,annualnoflowdays
-1.9997005961924015,0.0594803871829632,tau_p.pet_jfm,annualnoflowdays
-1.8895572131757483,0.05945229496599074,tau_p.pet_jfm,annualnoflowdays
-1.779413830159095,0.05947715274763116,tau_p.pet_jfm,annualnoflowdays
-1.6692704471424415,0.05930126811111044,tau_p.pet_jfm,annualnoflowdays
-1.5591270641257884,0.057197315623398234,tau_p.pet_jfm,annualnoflowdays
-1.448983681109135,0.056575291262875395,tau_p.pet_jfm,annualnoflowdays
-1.3388402980924816,0.05625715629354138,tau_p.pet_jfm,annualnoflowdays
-1.2286969150758282,0.05401873893884287,tau_p.pet_jfm,annualnoflowdays
-1.118553532059175,0.052976125638101654,tau_p.pet_jfm,annualnoflowdays
-1.0084101490425217,0.05015308075634867,tau_p.pet_jfm,annualnoflowdays
-0.8982667660258683,0.049338241443242406,tau_p.pet_jfm,annualnoflowdays
-0.7881233830092151,0.05112955083985782,tau_p.pet_jfm,annualnoflowdays
-0.6779799999925618,0.051489365225653,tau_p.pet_jfm,annualnoflowdays
-0.5678366169759084,0.05215277675541219,tau_p.pet_jfm,annualnoflowdays
-0.4576932339592552,0.05304283471057219,tau_p.pet_jfm,annualnoflowdays
-0.3475498509426018,0.053234078359403234,tau_p.pet_jfm,annualnoflowdays
-0.23740646792594844,0.053020760616633765,tau_p.pet_jfm,annualnoflowdays
-0.12726308490929528,0.05271063062381571,tau_p.pet_jfm,annualnoflowdays
-0.017119701892641892,0.053213583094431346,tau_p.pet_jfm,annualnoflowdays
0.09302368112401149,0.05299053224824308,tau_p.pet_jfm,annualnoflowdays
0.20316706414066488,0.051615485682076565,tau_p.pet_jfm,annualnoflowdays
0.31331044715731826,0.04910670933552257,tau_p.pet_jfm,annualnoflowdays
0.4234538301739712,0.04656457138285257,tau_p.pet_jfm,annualnoflowdays
0.5335972131906246,0.044567893066545614,tau_p.pet_jfm,annualnoflowdays
0.643740596207278,0.04250246414845911,tau_p.pet_jfm,annualnoflowdays
