mtry,trees,min_n,.metric,.estimator,mean,n,std_err,.config,metric
6,1450,3,mae,standard,0.15177796113099712,5,0.009179932021701543,Model039,annualnoflowdays
6,1450,3,rmse,standard,0.19939363343144964,5,0.013829036839389453,Model039,annualnoflowdays
6,1450,3,rsq,standard,0.2652802403805753,5,0.03939381969178794,Model039,annualnoflowdays
6,1650,3,mae,standard,0.15187793399015365,5,0.009224881113587192,Model040,annualnoflowdays
6,1650,3,rmse,standard,0.19937063296514457,5,0.013817642455817446,Model040,annualnoflowdays
6,1650,3,rsq,standard,0.2644178272567047,5,0.03883019775612337,Model040,annualnoflowdays
7,250,3,mae,standard,0.15216891629732454,5,0.009132282341852833,Model041,annualnoflowdays
7,250,3,rmse,standard,0.1997543497402772,5,0.013896779290567754,Model041,annualnoflowdays
7,250,3,rsq,standard,0.26401021476595476,5,0.039901535638100005,Model041,annualnoflowdays
7,450,3,mae,standard,0.15211707264059507,5,0.009031511289835417,Model042,annualnoflowdays
7,450,3,rmse,standard,0.19942415833726368,5,0.013604845040071173,Model042,annualnoflowdays
7,450,3,rsq,standard,0.2645026720238152,5,0.03876219922794944,Model042,annualnoflowdays
7,650,3,mae,standard,0.1515100572300719,5,0.009215229868361945,Model043,annualnoflowdays
7,650,3,rmse,standard,0.1989689440672903,5,0.013765317082465867,Model043,annualnoflowdays
7,650,3,rsq,standard,0.26640081661630427,5,0.038206615979224964,Model043,annualnoflowdays
7,850,3,mae,standard,0.15195312138029257,5,0.00886071881056258,Model044,annualnoflowdays
7,850,3,rmse,standard,0.19932249321623144,5,0.01350661858020913,Model044,annualnoflowdays
7,850,3,rsq,standard,0.2654953674308109,5,0.038073663520351915,Model044,annualnoflowdays
7,1050,3,mae,standard,0.1519893433985517,5,0.009034135732384551,Model045,annualnoflowdays
7,1050,3,rmse,standard,0.19951033994640366,5,0.013808657467388893,Model045,annualnoflowdays
7,1050,3,rsq,standard,0.26427254268850287,5,0.03890203942334014,Model045,annualnoflowdays
7,1250,3,mae,standard,0.15181058490861024,5,0.008990724605710699,Model046,annualnoflowdays
7,1250,3,rmse,standard,0.1991381183819597,5,0.013716219501961373,Model046,annualnoflowdays
7,1250,3,rsq,standard,0.2666728503205986,5,0.03865512189877698,Model046,annualnoflowdays
7,1450,3,mae,standard,0.15201900882983524,5,0.009137272586963558,Model047,annualnoflowdays
7,1450,3,rmse,standard,0.19923495181428355,5,0.013888557346405556,Model047,annualnoflowdays
7,1450,3,rsq,standard,0.265990694553497,5,0.03989205896353612,Model047,annualnoflowdays
7,1650,3,mae,standard,0.15183879788338153,5,0.009079141943092164,Model048,annualnoflowdays
7,1650,3,rmse,standard,0.19943669747667753,5,0.013869632611640268,Model048,annualnoflowdays
7,1650,3,rsq,standard,0.26426845677083116,5,0.03922656247736064,Model048,annualnoflowdays
8,250,3,mae,standard,0.1524984211981187,5,0.009008052528887284,Model049,annualnoflowdays
8,250,3,rmse,standard,0.19997407745728163,5,0.013820025482716346,Model049,annualnoflowdays
8,250,3,rsq,standard,0.26047248196952144,5,0.039032393241643745,Model049,annualnoflowdays
8,450,3,mae,standard,0.15300220926447763,5,0.009225287366600471,Model050,annualnoflowdays
8,450,3,rmse,standard,0.20043560800101132,5,0.013922854428810662,Model050,annualnoflowdays
8,450,3,rsq,standard,0.2588641923392036,5,0.039268689829523196,Model050,annualnoflowdays
8,650,3,mae,standard,0.15219949001584496,5,0.00893611706759491,Model051,annualnoflowdays
8,650,3,rmse,standard,0.19976321089899776,5,0.013822929825758525,Model051,annualnoflowdays
8,650,3,rsq,standard,0.2618295248204566,5,0.038677399040346935,Model051,annualnoflowdays
8,850,3,mae,standard,0.15227600553837503,5,0.009049001153454389,Model052,annualnoflowdays
8,850,3,rmse,standard,0.19979538784937478,5,0.013780854768346007,Model052,annualnoflowdays
8,850,3,rsq,standard,0.2623095210791064,5,0.03847573690563325,Model052,annualnoflowdays
8,1050,3,mae,standard,0.15228011671463304,5,0.009487118336499298,Model053,annualnoflowdays
8,1050,3,rmse,standard,0.19974474633788175,5,0.014232881596841464,Model053,annualnoflowdays
8,1050,3,rsq,standard,0.2633577502814912,5,0.041043177234617347,Model053,annualnoflowdays
8,1250,3,mae,standard,0.15262667229677904,5,0.009173492547187221,Model054,annualnoflowdays
8,1250,3,rmse,standard,0.1997683698004132,5,0.013918970671566366,Model054,annualnoflowdays
8,1250,3,rsq,standard,0.26233836656197634,5,0.039603296802265014,Model054,annualnoflowdays
8,1450,3,mae,standard,0.15218600163512455,5,0.008977819926757048,Model055,annualnoflowdays
8,1450,3,rmse,standard,0.1996383655401332,5,0.013720724342475612,Model055,annualnoflowdays
8,1450,3,rsq,standard,0.26351014934931083,5,0.03936943662681888,Model055,annualnoflowdays
8,1650,3,mae,standard,0.1517373630274099,5,0.00900934892208201,Model056,annualnoflowdays
8,1650,3,rmse,standard,0.19937577982837415,5,0.013903470493201182,Model056,annualnoflowdays
8,1650,3,rsq,standard,0.26499100811188725,5,0.0397955123049647,Model056,annualnoflowdays
10,250,3,mae,standard,0.15291834724245618,5,0.009186309596227633,Model057,annualnoflowdays
10,250,3,rmse,standard,0.20062482057350575,5,0.013535065784866566,Model057,annualnoflowdays
10,250,3,rsq,standard,0.2583043721002152,5,0.03894055263571814,Model057,annualnoflowdays
10,450,3,mae,standard,0.15295176976890462,5,0.009003751184386847,Model058,annualnoflowdays
10,450,3,rmse,standard,0.20030243136621118,5,0.013774355797934075,Model058,annualnoflowdays
10,450,3,rsq,standard,0.25976475913271746,5,0.03880325774678565,Model058,annualnoflowdays
10,650,3,mae,standard,0.15286184773640354,5,0.008583952208272043,Model059,annualnoflowdays
10,650,3,rmse,standard,0.20023812926870546,5,0.013251931551226705,Model059,annualnoflowdays
10,650,3,rsq,standard,0.25860757321784655,5,0.03642126528030229,Model059,annualnoflowdays
10,850,3,mae,standard,0.15204592104771883,5,0.008470479918671022,Model060,annualnoflowdays
10,850,3,rmse,standard,0.1995299940772243,5,0.013536830020179446,Model060,annualnoflowdays
10,850,3,rsq,standard,0.26470879756989996,5,0.03813083576637652,Model060,annualnoflowdays
10,1050,3,mae,standard,0.15248833397027836,5,0.0088547375225652,Model061,annualnoflowdays
10,1050,3,rmse,standard,0.20001819956722341,5,0.013473886713488868,Model061,annualnoflowdays
10,1050,3,rsq,standard,0.25979691815722034,5,0.037376384202447877,Model061,annualnoflowdays
10,1250,3,mae,standard,0.15267407883217837,5,0.008914170085539602,Model062,annualnoflowdays
10,1250,3,rmse,standard,0.20063516597587702,5,0.013851207760383339,Model062,annualnoflowdays
10,1250,3,rsq,standard,0.257626963590906,5,0.038930348062864877,Model062,annualnoflowdays
10,1450,3,mae,standard,0.1520647409372351,5,0.008663481593210757,Model063,annualnoflowdays
10,1450,3,rmse,standard,0.19962628637654298,5,0.013441065773438347,Model063,annualnoflowdays
10,1450,3,rsq,standard,0.2635535416259251,5,0.037923345031024396,Model063,annualnoflowdays
10,1650,3,mae,standard,0.15239009277661467,5,0.008770170399344466,Model064,annualnoflowdays
10,1650,3,rmse,standard,0.1996521212323853,5,0.013585712135035566,Model064,annualnoflowdays
10,1650,3,rsq,standard,0.26364901847622746,5,0.038315281542536,Model064,annualnoflowdays
1,250,6,mae,standard,0.15056369614471846,5,0.010378413876507292,Model065,annualnoflowdays
1,250,6,rmse,standard,0.1975631200423931,5,0.014271596847156603,Model065,annualnoflowdays
1,250,6,rsq,standard,0.2740791009665818,5,0.042450363709572864,Model065,annualnoflowdays
1,450,6,mae,standard,0.15065580018723332,5,0.009842808216406011,Model066,annualnoflowdays
1,450,6,rmse,standard,0.1976757002479873,5,0.014160940853656944,Model066,annualnoflowdays
1,450,6,rsq,standard,0.2735254032193246,5,0.041020980968738914,Model066,annualnoflowdays
1,650,6,mae,standard,0.15095147717605917,5,0.00962959592063811,Model067,annualnoflowdays
1,650,6,rmse,standard,0.19804272327918856,5,0.013801002569355635,Model067,annualnoflowdays
1,650,6,rsq,standard,0.26960300153734007,5,0.038648415129239104,Model067,annualnoflowdays
1,850,6,mae,standard,0.15059487567687926,5,0.009842222197099194,Model068,annualnoflowdays
1,850,6,rmse,standard,0.19767326036043392,5,0.013748935918183734,Model068,annualnoflowdays
1,850,6,rsq,standard,0.2720930976311404,5,0.03757368835299832,Model068,annualnoflowdays
1,1050,6,mae,standard,0.1508678429564714,5,0.00990328804060565,Model069,annualnoflowdays
1,1050,6,rmse,standard,0.1973898837403808,5,0.01414838115047754,Model069,annualnoflowdays
1,1050,6,rsq,standard,0.27513958265147714,5,0.04165378145936441,Model069,annualnoflowdays
1,1250,6,mae,standard,0.1510606888892917,5,0.010004922940745745,Model070,annualnoflowdays
1,1250,6,rmse,standard,0.19812303762431824,5,0.014203567817558644,Model070,annualnoflowdays
1,1250,6,rsq,standard,0.26969994832973043,5,0.041514409322769084,Model070,annualnoflowdays
1,1450,6,mae,standard,0.15029585937886245,5,0.010164548727982968,Model071,annualnoflowdays
1,1450,6,rmse,standard,0.19735650735204976,5,0.014199742954888123,Model071,annualnoflowdays
1,1450,6,rsq,standard,0.2750384149137433,5,0.04116087858309766,Model071,annualnoflowdays
1,1650,6,mae,standard,0.15032323559901245,5,0.009998947509830668,Model072,annualnoflowdays
1,1650,6,rmse,standard,0.19741412288928953,5,0.014055327286977089,Model072,annualnoflowdays
1,1650,6,rsq,standard,0.27411018642402196,5,0.04017635338194812,Model072,annualnoflowdays
2,250,6,mae,standard,0.15030671752270675,5,0.009656165187784872,Model073,annualnoflowdays
2,250,6,rmse,standard,0.19703857694059207,5,0.01416239479320119,Model073,annualnoflowdays
2,250,6,rsq,standard,0.2777215206250924,5,0.04143476637663638,Model073,annualnoflowdays
2,450,6,mae,standard,0.1507552465271311,5,0.009974693813371283,Model074,annualnoflowdays
2,450,6,rmse,standard,0.19794821210856975,5,0.014115717167998391,Model074,annualnoflowdays
2,450,6,rsq,standard,0.27334121216079843,5,0.04128050507657559,Model074,annualnoflowdays
2,650,6,mae,standard,0.15093554419199032,5,0.009848745762428248,Model075,annualnoflowdays
2,650,6,rmse,standard,0.19797798305005943,5,0.014207051519553033,Model075,annualnoflowdays
2,650,6,rsq,standard,0.2723424177066051,5,0.04172169736966148,Model075,annualnoflowdays
2,850,6,mae,standard,0.1506668543418534,5,0.009609569170779932,Model076,annualnoflowdays
2,850,6,rmse,standard,0.19777189142412446,5,0.014108759588668902,Model076,annualnoflowdays
2,850,6,rsq,standard,0.2734265755996117,5,0.04116185589296929,Model076,annualnoflowdays
2,1050,6,mae,standard,0.15057627912726718,5,0.00982947404965576,Model077,annualnoflowdays
2,1050,6,rmse,standard,0.19776667398781708,5,0.014092058389628319,Model077,annualnoflowdays
2,1050,6,rsq,standard,0.272925966764433,5,0.041021198435141994,Model077,annualnoflowdays
2,1250,6,mae,standard,0.150794164636701,5,0.009492284877184544,Model078,annualnoflowdays
2,1250,6,rmse,standard,0.19777933550293111,5,0.013900449336673018,Model078,annualnoflowdays
2,1250,6,rsq,standard,0.2730274290481673,5,0.03985224748976437,Model078,annualnoflowdays
2,1450,6,mae,standard,0.15069415129880442,5,0.009955989466798822,Model079,annualnoflowdays
2,1450,6,rmse,standard,0.1980348065411726,5,0.014381398081359992,Model079,annualnoflowdays
