predictor,IncMSE,metric,region,iteration
pet_mm_ond,8.754152656328203e-4,annualfractionnoflow,National,5
pet_mm_jfm,0.001041250731466126,annualfractionnoflow,National,5
pet_mm_amj,0.007342398645582728,annualfractionnoflow,National,5
T_max_c_cy,0.001237541468332469,annualfractionnoflow,National,5
T_max_c_jas,0.001283484204539498,annualfractionnoflow,National,5
T_max_c_ond,0.001095169676175606,annualfractionnoflow,National,5
T_max_c_jfm,0.0017464789468104023,annualfractionnoflow,National,5
T_max_c_amj,0.0011362340375153704,annualfractionnoflow,National,5
T_min_c_cy,0.0020063893975729276,annualfractionnoflow,National,5
T_min_c_jas,0.0019205371159909553,annualfractionnoflow,National,5
T_min_c_ond,0.001077542309562386,annualfractionnoflow,National,5
T_min_c_jfm,0.0014370711865267784,annualfractionnoflow,National,5
T_min_c_amj,0.0013396274192716872,annualfractionnoflow,National,5
pcumdist10days,7.219084617228555e-4,annualfractionnoflow,National,5
pcumdist50days,0.0015641655455533143,annualfractionnoflow,National,5
pcumdist90days,7.395916571469996e-4,annualfractionnoflow,National,5
swe_mm_cy,3.3951322099255585e-4,annualfractionnoflow,National,5
swe_mm_jas,0,annualfractionnoflow,National,5
swe_mm_ond,1.4699839548671265e-4,annualfractionnoflow,National,5
swe_mm_jfm,2.436104434531118e-4,annualfractionnoflow,National,5
swe_mm_amj,-2.742175213970156e-7,annualfractionnoflow,National,5
srad_wm2_cy,0.006144042935010707,annualfractionnoflow,National,5
srad_wm2_jas,0.00358321213523748,annualfractionnoflow,National,5
srad_wm2_ond,0.0010015588532350818,annualfractionnoflow,National,5
srad_wm2_jfm,0.0012652640534392063,annualfractionnoflow,National,5
srad_wm2_amj,0.0076698324763968964,annualfractionnoflow,National,5
pdsi_cy,7.750562658237323e-4,annualfractionnoflow,National,5
pdsi_jas,6.961414793344972e-4,annualfractionnoflow,National,5
pdsi_ond,6.322335040219296e-4,annualfractionnoflow,National,5
pdsi_jfm,4.2342641327074816e-4,annualfractionnoflow,National,5
pdsi_amj,0.0014149038042062646,annualfractionnoflow,National,5
p.pet_cy,0.018649514242026072,annualfractionnoflow,National,5
swe.p_cy,3.877354342109534e-4,annualfractionnoflow,National,5
p.pet_jfm,0.001099428035813326,annualfractionnoflow,National,5
swe.p_jfm,4.572913839825368e-4,annualfractionnoflow,National,5
