metric,n,OOBmse,OOBr2
peak2z_length,18,251.13667993217283,0.3627919640487637
peak2z_length,19,253.85262216770406,0.3559008153000931
peak2z_length,20,251.70325854579457,0.36088203667330543
peak2z_length,21,249.76132134183774,0.3658129499950946
peak2z_length,22,252.1022494100389,0.35986893008892884
peak2z_length,23,249.66682970048177,0.3660528805614438
peak2z_length,24,251.85242738906297,0.3605032712657684
peak2z_length,25,251.16570900935517,0.36224696761182895
peak2z_length,26,250.50445081764312,0.3639260161516126
peak2z_length,27,248.43550836714815,0.3691794176881681
peak2z_length,28,249.95154424235196,0.3653299412591048
peak2z_length,29,248.97916263427658,0.36779898578606074
peak2z_length,30,248.59149349438803,0.3687833445606019
peak2z_length,31,247.60624621079361,0.37128505725555083
peak2z_length,32,247.6093643565418,0.37127713974597454
